15:09:12: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:12: 1,1,1.61,924.00
15:09:12: 2,1,1.55,952.00
15:09:12: 3,1,1.50,352.00
15:09:12: 4,1,1.37,356.00
15:09:12: 5,1,1.61,756.00
15:09:12: 6,1,1.61,756.00
15:09:12: 7,1,1.61,924.00
15:09:12: 8,1,1.61,924.00
15:09:12: 9,1,1.40,512.00
15:09:12: 10,1,1.61,476.00
15:09:12: 11,1,1.53,612.00
15:09:12: 12,1,1.40,580.00
15:09:12: 13,1,1.53,364.00
15:09:12: 14,1,1.40,364.00
15:09:12: 15,1,1.61,416.00
15:09:12: 16,1,1.51,388.00
15:09:12: 

15:09:12: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:12: 1,1,1.60,952.00
15:09:12: 2,1,1.61,968.00
15:09:12: 3,1,1.50,324.00
15:09:12: 4,1,1.55,352.00
15:09:12: 5,1,1.61,732.00
15:09:12: 6,1,1.36,756.00
15:09:12: 7,1,1.55,924.00
15:09:12: 8,1,1.50,924.00
15:09:12: 9,1,1.61,492.00
15:09:12: 10,1,1.40,492.00
15:09:12: 11,1,1.37,580.00
15:09:12: 12,1,1.61,580.00
15:09:12: 13,1,1.61,356.00
15:09:12: 14,1,1.40,372.00
15:09:12: 15,1,1.35,388.00
15:09:12: 16,1,1.55,420.00
15:09:12: 

15:09:13: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:13: 1,1,1.37,976.00
15:09:13: 2,1,1.61,968.00
15:09:13: 3,1,1.61,356.00
15:09:13: 4,1,1.40,364.00
15:09:13: 5,1,1.32,700.00
15:09:13: 6,1,1.40,788.00
15:09:13: 7,1,1.55,892.00
15:09:13: 8,1,1.61,956.00
15:09:13: 9,1,1.37,464.00
15:09:13: 10,1,1.40,532.00
15:09:13: 11,1,1.61,568.00
15:09:13: 12,1,1.61,656.00
15:09:13: 13,1,1.51,356.00
15:09:13: 14,1,1.61,388.00
15:09:13: 15,1,1.37,388.00
15:09:13: 16,1,1.61,420.00
15:09:13: 

15:09:13: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:13: 1,1,1.61,924.00
15:09:13: 2,1,1.61,952.00
15:09:13: 3,1,1.53,324.00
15:09:13: 4,1,1.61,356.00
15:09:13: 5,1,1.61,700.00
15:09:13: 6,1,1.61,788.00
15:09:13: 7,1,1.61,888.00
15:09:13: 8,1,1.61,980.00
15:09:13: 9,1,1.61,444.00
15:09:13: 10,1,1.61,556.00
15:09:13: 11,1,1.61,532.00
15:09:13: 12,1,1.50,664.00
15:09:13: 13,1,1.40,364.00
15:09:13: 14,1,1.40,372.00
15:09:13: 15,1,1.61,388.00
15:09:13: 16,1,1.40,388.00
15:09:13: 

15:09:14: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:14: 1,1,1.40,864.00
15:09:14: 2,1,1.55,956.00
15:09:14: 3,1,1.61,372.00
15:09:14: 4,1,1.50,324.00
15:09:14: 5,1,1.40,700.00
15:09:14: 6,1,1.61,788.00
15:09:14: 7,1,1.61,892.00
15:09:14: 8,1,1.37,956.00
15:09:14: 9,1,1.61,476.00
15:09:14: 10,1,1.37,524.00
15:09:14: 11,1,1.53,580.00
15:09:14: 12,1,1.60,612.00
15:09:14: 13,1,1.40,372.00
15:09:14: 14,1,1.50,356.00
15:09:14: 15,1,1.61,420.00
15:09:14: 16,1,1.50,388.00
15:09:14: 

15:09:14: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:14: 1,1,1.40,924.00
15:09:14: 2,1,1.45,968.00
15:09:14: 3,1,1.61,360.00
15:09:14: 4,1,1.37,324.00
15:09:14: 5,1,1.61,732.00
15:09:14: 6,1,1.51,756.00
15:09:14: 7,1,1.61,924.00
15:09:14: 8,1,1.61,924.00
15:09:14: 9,1,1.61,512.00
15:09:14: 10,1,1.51,492.00
15:09:14: 11,1,1.61,612.00
15:09:14: 12,1,1.37,580.00
15:09:14: 13,1,1.40,372.00
15:09:14: 14,1,1.61,364.00
15:09:14: 15,1,1.55,420.00
15:09:14: 16,1,1.61,388.00
15:09:14: 

15:09:15: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:15: 1,1,1.40,996.00
15:09:15: 2,1,1.61,952.00
15:09:15: 3,1,1.61,356.00
15:09:15: 4,1,1.60,356.00
15:09:15: 5,1,1.40,756.00
15:09:15: 6,1,1.55,732.00
15:09:15: 7,1,1.40,948.00
15:09:15: 8,1,1.45,924.00
15:09:15: 9,1,1.40,524.00
15:09:15: 10,1,1.61,476.00
15:09:15: 11,1,1.61,612.00
15:09:15: 12,1,1.61,580.00
15:09:15: 13,1,1.61,364.00
15:09:15: 14,1,1.61,364.00
15:09:15: 15,1,1.37,388.00
15:09:15: 16,1,1.61,388.00
15:09:15: 

15:09:15: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:15: 1,1,1.37,968.00
15:09:15: 2,1,1.40,980.00
15:09:15: 3,1,1.37,324.00
15:09:15: 4,1,1.61,356.00
15:09:15: 5,1,1.60,732.00
15:09:15: 6,1,1.61,776.00
15:09:15: 7,1,1.47,920.00
15:09:15: 8,1,1.55,924.00
15:09:15: 9,1,1.37,476.00
15:09:15: 10,1,1.40,524.00
15:09:15: 11,1,1.40,580.00
15:09:15: 12,1,1.61,612.00
15:09:15: 13,1,1.50,356.00
15:09:15: 14,1,1.61,388.00
15:09:15: 15,1,1.55,388.00
15:09:15: 16,1,1.40,408.00
15:09:15: 

15:09:16: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:16: 1,1,1.51,956.00
15:09:16: 2,1,1.50,860.00
15:09:16: 3,1,1.60,356.00
15:09:16: 4,1,1.51,356.00
15:09:16: 5,1,1.32,700.00
15:09:16: 6,1,1.61,804.00
15:09:16: 7,1,1.50,880.00
15:09:16: 8,1,1.61,976.00
15:09:16: 9,1,1.50,444.00
15:09:16: 10,1,1.55,556.00
15:09:16: 11,1,1.61,548.00
15:09:16: 12,1,1.40,656.00
15:09:16: 13,1,1.37,356.00
15:09:16: 14,1,1.55,372.00
15:09:16: 15,1,1.61,388.00
15:09:16: 16,1,1.40,416.00
15:09:16: 

15:09:16: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:16: 1,1,1.55,968.00
15:09:16: 2,1,1.61,920.00
15:09:16: 3,1,1.61,356.00
15:09:16: 4,1,1.61,356.00
15:09:16: 5,1,1.40,700.00
15:09:16: 6,1,1.61,788.00
15:09:16: 7,1,1.40,888.00
15:09:16: 8,1,1.40,980.00
15:09:16: 9,1,1.55,464.00
15:09:16: 10,1,1.61,548.00
15:09:16: 11,1,1.61,548.00
15:09:16: 12,1,1.37,644.00
15:09:16: 13,1,1.40,372.00
15:09:16: 14,1,1.61,364.00
15:09:16: 15,1,1.61,388.00
15:09:16: 16,1,1.61,388.00
15:09:16: 

15:09:16: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:16: 1,1,1.61,924.00
15:09:16: 2,1,1.37,924.00
15:09:16: 3,1,1.61,356.00
15:09:16: 4,1,1.37,324.00
15:09:16: 5,1,1.40,732.00
15:09:16: 6,1,1.61,784.00
15:09:16: 7,1,1.40,892.00
15:09:16: 8,1,1.55,924.00
15:09:16: 9,1,1.51,476.00
15:09:16: 10,1,1.61,512.00
15:09:16: 11,1,1.61,580.00
15:09:16: 12,1,1.61,612.00
15:09:16: 13,1,1.61,388.00
15:09:16: 14,1,1.61,356.00
15:09:16: 15,1,1.61,420.00
15:09:16: 16,1,1.55,388.00
15:09:16: 

15:09:17: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:17: 1,1,1.61,844.00
15:09:17: 2,1,1.60,952.00
15:09:17: 3,1,1.40,360.00
15:09:17: 4,1,1.60,356.00
15:09:17: 5,1,1.61,756.00
15:09:17: 6,1,1.40,732.00
15:09:17: 7,1,1.61,924.00
15:09:17: 8,1,1.61,924.00
15:09:17: 9,1,1.61,524.00
15:09:17: 10,1,1.61,476.00
15:09:17: 11,1,1.45,612.00
15:09:17: 12,1,1.61,580.00
15:09:17: 13,1,1.40,372.00
15:09:17: 14,1,1.50,356.00
15:09:17: 15,1,1.55,416.00
15:09:17: 16,1,1.61,372.00
15:09:17: 

15:09:17: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:17: 1,1,1.37,980.00
15:09:17: 2,1,1.61,968.00
15:09:17: 3,1,1.60,356.00
15:09:17: 4,1,1.40,356.00
15:09:17: 5,1,1.61,756.00
15:09:17: 6,1,1.61,756.00
15:09:17: 7,1,1.40,924.00
15:09:17: 8,1,1.53,924.00
15:09:17: 9,1,1.61,492.00
15:09:17: 10,1,1.40,492.00
15:09:17: 11,1,1.60,612.00
15:09:17: 12,1,1.61,580.00
15:09:17: 13,1,1.60,356.00
15:09:17: 14,1,1.47,364.00
15:09:17: 15,1,1.47,388.00
15:09:17: 16,1,1.61,388.00
15:09:17: 

15:09:18: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:18: 1,1,1.37,968.00
15:09:18: 2,1,1.61,968.00
15:09:18: 3,1,1.47,324.00
15:09:18: 4,1,1.61,356.00
15:09:18: 5,1,1.51,700.00
15:09:18: 6,1,1.61,788.00
15:09:18: 7,1,1.50,892.00
15:09:18: 8,1,1.55,948.00
15:09:18: 9,1,1.61,472.00
15:09:18: 10,1,1.61,532.00
15:09:18: 11,1,1.37,552.00
15:09:18: 12,1,1.61,640.00
15:09:18: 13,1,1.45,356.00
15:09:18: 14,1,1.61,388.00
15:09:18: 15,1,1.55,388.00
15:09:18: 16,1,1.61,420.00
15:09:18: 

15:09:18: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:18: 1,1,1.40,980.00
15:09:18: 2,1,1.65,968.00
15:09:18: 3,1,1.61,356.00
15:09:18: 4,1,1.61,356.00
15:09:18: 5,1,1.40,700.00
15:09:18: 6,1,1.53,788.00
15:09:18: 7,1,1.37,892.00
15:09:18: 8,1,1.61,980.00
15:09:18: 9,1,1.37,444.00
15:09:18: 10,1,1.61,556.00
15:09:18: 11,1,1.55,532.00
15:09:18: 12,1,1.40,668.00
15:09:18: 13,1,1.61,364.00
15:09:18: 14,1,1.61,372.00
15:09:18: 15,1,1.61,388.00
15:09:18: 16,1,1.61,388.00
15:09:18: 

15:09:19: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:19: 1,1,1.61,924.00
15:09:19: 2,1,1.60,948.00
15:09:19: 3,1,1.61,356.00
15:09:19: 4,1,1.40,352.00
15:09:19: 5,1,1.40,700.00
15:09:19: 6,1,1.40,788.00
15:09:19: 7,1,1.61,892.00
15:09:19: 8,1,1.61,956.00
15:09:19: 9,1,1.55,472.00
15:09:19: 10,1,1.61,548.00
15:09:19: 11,1,1.50,556.00
15:09:19: 12,1,1.45,636.00
15:09:19: 13,1,1.40,372.00
15:09:19: 14,1,1.60,364.00
15:09:19: 15,1,1.53,420.00
15:09:19: 16,1,1.61,388.00
15:09:19: 

15:09:19: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:19: 1,1,1.55,924.00
15:09:19: 2,1,1.60,892.00
15:09:19: 3,1,1.61,356.00
15:09:19: 4,1,1.37,324.00
15:09:19: 5,1,1.61,732.00
15:09:19: 6,1,1.53,756.00
15:09:19: 7,1,1.55,924.00
15:09:19: 8,1,1.61,924.00
15:09:19: 9,1,1.61,512.00
15:09:19: 10,1,1.61,492.00
15:09:19: 11,1,1.61,612.00
15:09:19: 12,1,1.61,580.00
15:09:19: 13,1,1.61,372.00
15:09:19: 14,1,1.55,356.00
15:09:19: 15,1,1.61,420.00
15:09:19: 16,1,1.37,388.00
15:09:19: 

15:09:20: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:20: 1,1,1.61,844.00
15:09:20: 2,1,1.61,956.00
15:09:20: 3,1,1.61,356.00
15:09:20: 4,1,1.37,356.00
15:09:20: 5,1,1.61,756.00
15:09:20: 6,1,1.37,732.00
15:09:20: 7,1,1.61,924.00
15:09:20: 8,1,1.61,912.00
15:09:20: 9,1,1.61,512.00
15:09:20: 10,1,1.61,476.00
15:09:20: 11,1,1.61,612.00
15:09:20: 12,1,1.61,576.00
15:09:20: 13,1,1.61,364.00
15:09:20: 14,1,1.40,364.00
15:09:20: 15,1,1.61,420.00
15:09:20: 16,1,1.40,388.00
15:09:20: 

15:09:20: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:20: 1,1,1.61,844.00
15:09:20: 2,1,1.61,976.00
15:09:20: 3,1,1.40,324.00
15:09:20: 4,1,1.61,356.00
15:09:20: 5,1,1.37,732.00
15:09:20: 6,1,1.40,756.00
15:09:20: 7,1,1.40,912.00
15:09:20: 8,1,1.61,924.00
15:09:20: 9,1,1.61,476.00
15:09:20: 10,1,1.43,492.00
15:09:20: 11,1,1.60,580.00
15:09:20: 12,1,1.61,612.00
15:09:20: 13,1,1.60,356.00
15:09:20: 14,1,1.61,372.00
15:09:20: 15,1,1.60,388.00
15:09:20: 16,1,1.61,420.00
15:09:20: 

15:09:20: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:20: 1,1,1.40,976.00
15:09:20: 2,1,1.61,968.00
15:09:20: 3,1,1.50,324.00
15:09:20: 4,1,1.53,352.00
15:09:20: 5,1,1.50,700.00
15:09:20: 6,1,1.61,788.00
15:09:20: 7,1,1.60,892.00
15:09:20: 8,1,1.61,976.00
15:09:20: 9,1,1.55,444.00
15:09:20: 10,1,1.40,548.00
15:09:20: 11,1,1.55,552.00
15:09:20: 12,1,1.50,636.00
15:09:20: 13,1,1.60,356.00
15:09:20: 14,1,1.61,372.00
15:09:20: 15,1,1.61,384.00
15:09:20: 16,1,1.40,420.00
15:09:20: 

15:09:21: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:21: 1,1,1.47,976.00
15:09:21: 2,1,1.40,892.00
15:09:21: 3,1,1.40,352.00
15:09:21: 4,1,1.61,356.00
15:09:21: 5,1,1.53,696.00
15:09:21: 6,1,1.45,804.00
15:09:21: 7,1,1.40,892.00
15:09:21: 8,1,1.61,980.00
15:09:21: 9,1,1.50,444.00
15:09:21: 10,1,1.61,548.00
15:09:21: 11,1,1.61,532.00
15:09:21: 12,1,1.61,664.00
15:09:21: 13,1,1.61,364.00
15:09:21: 14,1,1.61,364.00
15:09:21: 15,1,1.61,388.00
15:09:21: 16,1,1.40,408.00
15:09:21: 

15:09:21: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:21: 1,1,1.55,924.00
15:09:21: 2,1,1.61,948.00
15:09:21: 3,1,1.61,356.00
15:09:21: 4,1,1.60,352.00
15:09:21: 5,1,1.40,720.00
15:09:21: 6,1,1.55,776.00
15:09:21: 7,1,1.61,892.00
15:09:21: 8,1,1.37,948.00
15:09:21: 9,1,1.61,476.00
15:09:21: 10,1,1.60,520.00
15:09:21: 11,1,1.61,580.00
15:09:21: 12,1,1.40,612.00
15:09:21: 13,1,1.61,388.00
15:09:21: 14,1,1.37,364.00
15:09:21: 15,1,1.47,420.00
15:09:21: 16,1,1.37,372.00
15:09:21: 

15:09:22: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:22: 1,1,1.40,892.00
15:09:22: 2,1,1.37,892.00
15:09:22: 3,1,1.40,324.00
15:09:22: 4,1,1.37,324.00
15:09:22: 5,1,1.61,756.00
15:09:22: 6,1,1.61,732.00
15:09:22: 7,1,1.55,924.00
15:09:22: 8,1,1.37,920.00
15:09:22: 9,1,1.53,512.00
15:09:22: 10,1,1.60,476.00
15:09:22: 11,1,1.61,612.00
15:09:22: 12,1,1.45,580.00
15:09:22: 13,1,1.37,372.00
15:09:22: 14,1,1.61,356.00
15:09:22: 15,1,1.61,420.00
15:09:22: 16,1,1.61,388.00
15:09:22: 

15:09:22: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:22: 1,1,1.61,836.00
15:09:22: 2,1,1.61,956.00
15:09:22: 3,1,1.61,356.00
15:09:22: 4,1,1.40,356.00
15:09:22: 5,1,1.61,756.00
15:09:22: 6,1,1.61,756.00
15:09:22: 7,1,1.61,924.00
15:09:22: 8,1,1.61,920.00
15:09:22: 9,1,1.55,492.00
15:09:22: 10,1,1.61,476.00
15:09:22: 11,1,1.61,612.00
15:09:22: 12,1,1.55,580.00
15:09:22: 13,1,1.40,364.00
15:09:22: 14,1,1.61,372.00
15:09:22: 15,1,1.60,388.00
15:09:22: 16,1,1.61,416.00
15:09:22: 

15:09:23: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:23: 1,1,1.60,892.00
15:09:23: 2,1,1.55,968.00
15:09:23: 3,1,1.53,356.00
15:09:23: 4,1,1.61,356.00
15:09:23: 5,1,1.37,732.00
15:09:23: 6,1,1.40,776.00
15:09:23: 7,1,1.60,892.00
15:09:23: 8,1,1.61,952.00
15:09:23: 9,1,1.61,464.00
15:09:23: 10,1,1.61,520.00
15:09:23: 11,1,1.60,556.00
15:09:23: 12,1,1.61,636.00
15:09:23: 13,1,1.60,356.00
15:09:23: 14,1,1.61,388.00
15:09:23: 15,1,1.60,388.00
15:09:23: 16,1,1.55,420.00
15:09:23: 

15:09:23: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:23: 1,1,1.61,844.00
15:09:23: 2,1,1.61,968.00
15:09:23: 3,1,1.53,356.00
15:09:23: 4,1,1.47,324.00
15:09:23: 5,1,1.61,700.00
15:09:23: 6,1,1.55,788.00
15:09:23: 7,1,1.45,888.00
15:09:23: 8,1,1.61,980.00
15:09:23: 9,1,1.55,448.00
15:09:23: 10,1,1.50,548.00
15:09:23: 11,1,1.61,532.00
